source_url_runner,source_name_runner,source_page_type_runner,extraction_timestamp_runner,race_id,runner_id,race_date,horse_name,expected_value_haircut,fractional_kelly_25
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-13,2026-03-01,ONE LOVE,1.9672349560377214,0.004728930182782984
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-12,2026-03-01,BLAZING BEAM,0.4252503024642912,0.0020058976531334488
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-7,2026-03-01,MULTISUPERSTAR,2.6029915718186722,0.003655887039071168
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-1,2026-03-01,RYUI KOKOROE,-0.29758251715548695,0.0
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-3,2026-03-01,GAZELEY,0.3844946537168216,0.0015757977611345149
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,2026-03-01-ST-3-9,2026-03-01,MONEY TYCOON,0.877453253997049,0.0032740793059591383
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-11,2026-03-01,WARRIORS DREAM,-0.11462848380893616,0.0
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-1,2026-03-01,ALSONSO,0.19977291996669658,0.001189124523611289
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-3,2026-03-01,GOLD PATCH,-0.33938309326703947,0.0
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-6,2026-03-01,DAILY ACCLAIM,-0.08656172954648905,0.0
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-9,2026-03-01,PRECISION HOPE,0.8053626033088944,0.002516758135340295
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-14,2026-03-01,ALWAYS FLUKE,-0.12698437725310535,0.0
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-5,2026-03-01,BEST FARM,0.715204108868432,0.003311130133650148
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,2026-03-01-ST-4-2,2026-03-01,FIND MY LOVE,-0.08440498489436866,0.0
