split,rows,brier,slope,intercept
train,568,0.06798460045489411,1.0604416648635233,0.044373815774781854
validation,214,0.06098943304605063,1.0604416648635233,0.044373815774781854
test,225,0.06316292857030129,1.0604416648635233,0.044373815774781854
