race_id,runner_id,race_date,horse_name,target_win,market_odds,draw_num,carried_weight_num,handicap_rating_num,source_url_runner,source_name_runner,source_page_type_runner,extraction_timestamp_runner,source_url_race,source_name_race,source_page_type_race,extraction_timestamp_race,market_implied_prob,market_prob,market_log_prob,fundamental_score,fundamental_prob,blended_prob,calibrated_prob,edge,edge_haircut,expected_value,expected_value_haircut,fractional_kelly_25
2026-03-01-ST-2,2026-03-01-ST-2-14,2026-03-01,WIN SPEED,0,9.8,13.0,117,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,0.1020408163265306,0.08363023508982187,-2.481350160522202,-2.73,0.06866385255639758,0.07764368207645216,0.06908875100586766,-0.014541484083954212,-0.010179038858767947,-0.32293024014249694,-0.22605116809974785,0.0
2026-03-01-ST-2,2026-03-01-ST-2-6,2026-03-01,WHOWROTETHATSONG,0,190.0,5.0,124,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,0.005263157894736842,0.004313559494106602,-5.445991847006162,-2.63,0.07588529296836483,0.03294225288380989,0.027290424231497502,0.0229768647373909,0.01608380531617363,4.185180603984525,2.9296264227891675,0.0038751672259115977
2026-03-01-ST-2,2026-03-01-ST-2-5,2026-03-01,REGROWTH WINNER,0,204.0,7.0,126,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,0.004901960784313725,0.004017530901373796,-5.517087768689892,-2.73,0.06866385255639758,0.029876059563383312,0.024554389124681417,0.02053685822330762,0.014375800756315333,4.009095381435009,2.8063667670045063,0.0034561167081336285
2026-03-01-ST-2,2026-03-01-ST-2-9,2026-03-01,MAGIC SUPER,0,160.0,1.0,124,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,0.00625,0.0051223518992515905,-5.274141590079503,-2.51,0.08556042890300988,0.03729758270075491,0.0312139097182832,0.026091557819031608,0.018264090473322125,3.994225554925311,2.7959578884477176,0.00439616020196182
2026-03-01-ST-3,2026-03-01-ST-3-8,2026-03-01,CIRCUIT FIERY,1,1.7,1.0,123,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.5882352941176471,0.478121476983121,-0.7378904428297991,-2.4899999999999998,0.08733296237216141,0.32180607113873716,0.3227140411821298,-0.1554074358009912,-0.10878520506069383,-0.4513861299903793,-0.3159702909932655,0.0
2026-03-01-ST-3,2026-03-01-ST-3-14,2026-03-01,THE ALL ROUNDER,0,42.0,2.0,117,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.023809523809523808,0.019352535973126323,-3.9449318100509974,-2.4,0.0955574815474138,0.04983451420284132,0.042717050991799316,0.023364515018672993,0.016355160513071093,0.7941161416555713,0.5558812991588998,0.0033895201168225603
2026-03-01-ST-3,2026-03-01-ST-3-2,2026-03-01,REZEKI,0,8.6,8.0,134,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.11627906976744186,0.09451238498503554,-2.359024395027091,-2.92,0.05681088629222019,0.0794317855079094,0.0708171865596904,-0.02369519842534515,-0.016586638897741604,-0.39097219558666263,-0.2736805369106638,0.0
2026-03-01-ST-3,2026-03-01-ST-3-6,2026-03-01,FRANCIS MEYNELL,0,9.0,3.0,124,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.1111111111111111,0.09031183454125619,-2.404486769103848,-2.57,0.08061848514411118,0.08643449478239819,0.07761891194940598,-0.012692922591850203,-0.008885045814295141,-0.3014297924553462,-0.2110008547187423,0.0
2026-03-01-ST-3,2026-03-01-ST-3-5,2026-03-01,TYCOON EXPRESS,0,17.0,11.0,127,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.058823529411764705,0.047812147698312095,-3.040475535823845,-2.87,0.059723642718515935,0.05257674570639363,0.0452694707259798,-0.0025426769723322917,-0.0017798738806326041,-0.2304189976583434,-0.16129329836084036,0.0
2026-03-01-ST-3,2026-03-01-ST-3-10,2026-03-01,SWAGGER BRO,0,16.0,13.0,121,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.0625,0.0508004069294566,-2.97985091400741,-2.81,0.06341674653133789,0.055846942770209115,0.048328565331758104,-0.0024718415976984973,-0.001730289118388948,-0.22674295469187034,-0.15872006828430923,0.0
