race_id,runner_id,race_date,racecourse,race_no,horse_no,horse_name,draw_num,carried_weight_num,handicap_rating_num,jockey,trainer,market_odds,market_implied_prob_raw,target_win,pre_race_feature_set_version,odds_quality_note,source_url_runner,source_name_runner,source_page_type_runner,extraction_timestamp_runner,source_url_race,source_name_race,source_page_type_race,extraction_timestamp_race
2026-03-01-ST-2,2026-03-01-ST-2-14,2026-03-01,ST,2,14.0,WIN SPEED,13.0,117,,L Hewitson,B Crawford,9.8,0.1020408163265306,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00
2026-03-01-ST-2,2026-03-01-ST-2-6,2026-03-01,ST,2,6.0,WHOWROTETHATSONG,5.0,124,,Y L Chung,C H Yip,190.0,0.005263157894736842,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00
2026-03-01-ST-2,2026-03-01-ST-2-5,2026-03-01,ST,2,5.0,REGROWTH WINNER,7.0,126,,B Avdulla,J Richards,204.0,0.004901960784313725,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00
2026-03-01-ST-2,2026-03-01-ST-2-9,2026-03-01,ST,2,9.0,MAGIC SUPER,1.0,124,,J Orman,K L Man,160.0,0.00625,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00
2026-03-01-ST-3,2026-03-01-ST-3-8,2026-03-01,ST,3,8.0,CIRCUIT FIERY,1.0,123,,Z Purton,W Y So,1.7,0.5882352941176471,1,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-14,2026-03-01,ST,3,14.0,THE ALL ROUNDER,2.0,117,,M F Poon,P C Ng,42.0,0.023809523809523808,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-2,2026-03-01,ST,3,2.0,REZEKI,8.0,134,,A Atzeni,D J Hall,8.6,0.11627906976744186,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-6,2026-03-01,ST,3,6.0,FRANCIS MEYNELL,3.0,124,,C L Chau,D Eustace,9.0,0.1111111111111111,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-5,2026-03-01,ST,3,5.0,TYCOON EXPRESS,11.0,127,,C Y Ho,C Fownes,17.0,0.058823529411764705,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-10,2026-03-01,ST,3,10.0,SWAGGER BRO,13.0,121,,M Guyon,J Richards,16.0,0.0625,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
