model_run_timestamp,window_id,train_start,train_end,test_start,test_end,train_rows,test_rows,slope,intercept,slope_drift,intercept_drift,brier,log_loss
2026-04-28T16:33:55.868566+00:00,1,2026-03-01,2026-03-08,2026-03-11,2026-03-15,347,221,1.077469831087851,0.07275531817702055,0.0,0.0,0.06884550198204406,0.25394498381940933
2026-04-28T16:33:55.868566+00:00,2,2026-03-01,2026-03-15,2026-03-18,2026-03-22,568,214,1.0604416648635233,0.044373815774781826,-0.01702816622432768,-0.028381502402238724,0.06098943304605064,0.21837338445254514
2026-04-28T16:33:55.868566+00:00,3,2026-03-01,2026-03-22,2026-03-25,2026-03-29,782,225,1.0659456672091883,0.05038679415761321,0.005504002345664949,0.006012978382831387,0.06315392468544972,0.22512129903660755
